,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
5660,Commercial,38259,57607893,50,7,26,55,1,Favorable,No,5,2,Delhi,6,18,Fixed price,High,352
5661,Infrastructure,49203,46000177,76,1,18,4,0,Moderate,No,1,10,Pune,8,17,Fixed price,High,315
5662,Industrial,12325,53159176,97,8,27,58,2,Adverse,No,4,9,Mumbai,2,1,Fixed price,Low,638
5663,Infrastructure,45990,30431286,88,2,39,16,0,Adverse,Yes,1,1,Banglore,9,4,Time and materials,Medium,620
5664,Educational,606,9406307,58,1,17,21,1,Moderate,Yes,5,3,Chennai,2,9,Time and materials,Medium,664
5665,Educational,39052,49577560,36,3,11,54,3,Favorable,No,1,2,Delhi,7,12,Time and materials,Medium,415
5666,Infrastructure,19784,73574852,85,3,42,9,4,Favorable,Yes,3,2,Hyderabad,9,20,Time and materials,High,113
5667,Industrial,49631,49983430,9,4,11,70,4,Favorable,Yes,4,10,Pune,2,3,Fixed price,Low,368
5668,Infrastructure,9948,10251911,36,5,45,13,5,Adverse,Yes,5,4,Hyderabad,4,8,Time and materials,High,139
5669,Educational,27634,30063679,79,2,36,34,4,Favorable,No,2,4,Kolkata,9,14,Time and materials,High,214
5670,Industrial,30000,15411689,77,7,49,14,2,Adverse,No,1,10,Delhi,4,11,Fixed price,Low,749
5671,Infrastructure,6460,23703223,5,9,21,78,3,Moderate,No,2,6,Mumbai,3,1,Fixed price,High,847
5672,Industrial,48779,28484438,98,4,28,1,2,Adverse,No,5,4,Hyderabad,1,16,Fixed price,High,868
5673,Educational,2773,58368588,20,4,40,22,5,Favorable,No,3,1,Kolkata,1,13,Time and materials,Low,998
5674,Commercial,27941,65263730,87,9,32,99,3,Moderate,Yes,5,1,Delhi,2,10,Time and materials,Low,393
5675,Commercial,6090,20859062,98,3,50,13,2,Moderate,Yes,3,3,Chennai,5,9,Fixed price,Low,347
5676,Residential,46455,54452565,99,3,38,10,4,Favorable,Yes,4,10,Kolkata,6,18,Fixed price,Low,195
5677,Residential,15343,31713719,69,10,16,42,3,Adverse,Yes,5,1,Delhi,4,13,Time and materials,Low,984
5678,Residential,47245,18291623,82,3,9,59,1,Adverse,Yes,5,2,Hyderabad,4,12,Fixed price,High,211
5679,Commercial,38396,58150381,57,6,33,92,1,Favorable,No,3,9,Pune,2,3,Time and materials,Medium,983
5680,Infrastructure,27505,7608444,69,5,16,90,5,Adverse,No,3,0,Delhi,3,5,Fixed price,High,158
5681,Residential,18706,66607168,34,7,35,80,2,Adverse,Yes,1,0,Pune,3,11,Fixed price,Low,881
5682,Industrial,19960,54142145,11,6,7,41,4,Favorable,No,5,4,Mumbai,2,6,Fixed price,Low,489
5683,Educational,42291,42168067,53,8,33,80,5,Adverse,Yes,5,2,Delhi,10,3,Fixed price,Medium,687
5684,Industrial,35791,14464825,13,1,35,100,4,Adverse,No,3,1,Mumbai,1,16,Fixed price,Low,756
5685,Residential,28503,13829958,36,5,17,17,4,Moderate,No,4,10,Pune,9,20,Time and materials,Low,559
5686,Infrastructure,21495,13404085,39,6,10,15,2,Adverse,Yes,5,6,Mumbai,6,4,Time and materials,Medium,461
5687,Residential,25224,82117876,21,6,43,61,1,Moderate,Yes,4,5,Delhi,1,19,Fixed price,Medium,631
5688,Commercial,6798,42765169,17,2,50,91,1,Adverse,No,3,9,Kolkata,5,7,Time and materials,Low,703
5689,Infrastructure,18760,66517445,44,6,48,89,3,Moderate,Yes,2,10,Banglore,9,2,Fixed price,Low,607
5690,Infrastructure,42548,50800731,22,7,29,33,2,Adverse,No,3,5,Kolkata,9,19,Fixed price,Low,311
5691,Industrial,44033,25584584,96,3,24,96,3,Favorable,No,3,2,Chennai,1,1,Fixed price,High,534
5692,Industrial,4028,12976635,17,1,42,89,2,Favorable,No,3,0,Chennai,6,17,Fixed price,Medium,891
5693,Infrastructure,12669,52535099,18,6,40,45,2,Moderate,No,5,0,Mumbai,8,18,Time and materials,High,210
5694,Infrastructure,9361,71809857,42,8,22,70,2,Moderate,Yes,4,2,Kolkata,6,16,Fixed price,Low,578
5695,Educational,3757,48672445,50,3,37,37,3,Adverse,Yes,3,10,Chennai,7,15,Time and materials,Low,244
5696,Residential,31296,15553785,75,5,34,45,5,Moderate,No,4,8,Kolkata,8,9,Time and materials,Medium,845
5697,Educational,40300,76050908,14,4,35,28,0,Favorable,Yes,1,1,Hyderabad,5,20,Time and materials,Medium,993
5698,Commercial,47975,41718788,95,5,24,47,1,Favorable,Yes,5,10,Mumbai,10,3,Fixed price,Medium,969
5699,Infrastructure,9989,67191820,56,2,32,50,0,Moderate,No,4,10,Banglore,2,20,Fixed price,Low,435
5700,Industrial,17032,40949710,82,4,36,32,5,Moderate,No,2,7,Hyderabad,7,14,Fixed price,Medium,614
5701,Industrial,43976,13341586,8,2,37,45,4,Moderate,Yes,1,10,Hyderabad,3,1,Time and materials,Medium,108
5702,Industrial,9402,28016650,90,4,7,68,2,Favorable,No,5,4,Mumbai,5,9,Fixed price,Medium,771
5703,Residential,43510,64948745,53,1,39,31,0,Favorable,Yes,4,2,Mumbai,3,18,Fixed price,Medium,724
5704,Commercial,3602,71267535,34,7,7,14,2,Favorable,No,1,10,Hyderabad,5,12,Time and materials,High,209
5705,Commercial,17718,19724120,94,8,23,77,5,Favorable,No,5,5,Chennai,7,17,Fixed price,Low,875
5706,Infrastructure,2035,60219156,65,6,46,25,0,Adverse,Yes,1,5,Mumbai,8,2,Time and materials,Low,338
5707,Commercial,45013,29556300,70,2,33,21,3,Moderate,No,4,10,Mumbai,6,7,Fixed price,Low,876
5708,Commercial,47823,7227142,89,7,39,77,3,Favorable,No,4,2,Pune,8,5,Fixed price,High,138
5709,Educational,6076,58408179,85,9,43,9,3,Favorable,Yes,3,1,Chennai,3,8,Time and materials,Low,109
5710,Industrial,32659,63073028,91,6,6,42,5,Favorable,Yes,5,1,Kolkata,9,8,Fixed price,High,505
5711,Residential,7616,62050717,55,6,47,32,5,Moderate,Yes,1,9,Mumbai,10,8,Fixed price,Medium,561
5712,Residential,19175,43510094,82,10,42,95,4,Moderate,Yes,5,2,Chennai,3,10,Fixed price,Medium,498
5713,Educational,17282,59128121,34,7,12,43,0,Adverse,No,1,1,Hyderabad,8,18,Fixed price,Low,752
5714,Residential,2390,47891830,86,9,43,29,2,Moderate,No,1,4,Mumbai,10,17,Fixed price,Low,574
5715,Residential,3943,69209882,29,3,37,85,3,Favorable,No,5,7,Banglore,4,6,Time and materials,High,822
5716,Industrial,49190,65110678,40,7,26,88,3,Adverse,No,2,7,Pune,1,7,Time and materials,Medium,581
5717,Educational,46650,9587081,25,8,49,43,4,Favorable,Yes,4,6,Mumbai,2,20,Fixed price,Low,556
5718,Commercial,34978,13642378,93,6,16,14,2,Adverse,No,4,0,Kolkata,3,16,Fixed price,Medium,474
5719,Industrial,21193,14883145,61,8,11,89,2,Adverse,Yes,2,9,Delhi,6,18,Fixed price,Low,300
5720,Industrial,30852,10952763,32,3,47,29,3,Moderate,Yes,4,6,Hyderabad,3,12,Fixed price,Low,484
5721,Residential,35526,7183733,66,6,36,74,2,Favorable,Yes,5,4,Hyderabad,4,7,Time and materials,Medium,945
5722,Commercial,10164,53533506,27,9,38,14,2,Moderate,No,2,9,Delhi,5,11,Fixed price,High,186
5723,Commercial,31920,69650612,94,9,33,75,2,Moderate,No,4,6,Banglore,9,19,Time and materials,Medium,456
5724,Residential,22849,39579961,33,7,10,20,0,Adverse,No,4,1,Kolkata,1,7,Fixed price,Medium,217
5725,Commercial,37401,54980943,78,7,42,89,2,Adverse,No,4,10,Banglore,10,9,Time and materials,High,271
5726,Residential,13233,10938072,47,6,7,50,4,Moderate,Yes,2,3,Chennai,7,10,Time and materials,High,302
5727,Educational,37636,54892382,62,1,37,27,0,Favorable,Yes,3,1,Hyderabad,3,18,Fixed price,High,552
5728,Educational,44647,24232348,67,5,38,56,1,Adverse,No,1,0,Delhi,6,16,Fixed price,Medium,265
5729,Commercial,19094,47277381,17,5,6,11,0,Moderate,Yes,1,9,Mumbai,10,17,Time and materials,High,264
5730,Industrial,23825,68260362,44,2,25,65,2,Adverse,Yes,2,2,Hyderabad,4,3,Fixed price,Low,767
5731,Infrastructure,34760,28638818,14,3,31,5,2,Favorable,No,5,7,Kolkata,7,1,Time and materials,Low,707
5732,Industrial,38275,58138263,24,8,23,72,0,Adverse,Yes,2,2,Banglore,2,7,Fixed price,Medium,317
5733,Residential,30286,21933829,87,5,42,46,2,Moderate,No,1,4,Banglore,4,8,Time and materials,High,334
5734,Educational,6011,14748768,62,3,7,94,1,Moderate,No,3,3,Delhi,8,5,Fixed price,High,202
5735,Infrastructure,41967,58516992,98,6,8,67,3,Moderate,Yes,5,10,Kolkata,9,16,Time and materials,Low,809
5736,Educational,11805,58504459,76,3,49,15,4,Adverse,Yes,4,4,Banglore,1,8,Time and materials,High,814
5737,Residential,34143,18945331,21,10,27,5,1,Favorable,No,3,3,Banglore,1,6,Time and materials,Low,692
5738,Educational,23977,57724508,80,2,19,82,4,Adverse,No,4,4,Pune,9,13,Fixed price,Medium,157
5739,Residential,40521,39206046,61,2,28,52,1,Favorable,No,5,6,Hyderabad,2,14,Time and materials,Low,528
5740,Industrial,13652,35776486,46,7,24,76,3,Favorable,Yes,3,8,Mumbai,1,1,Time and materials,Medium,403
5741,Industrial,34906,77118454,87,7,23,82,5,Moderate,No,5,9,Pune,4,2,Time and materials,Low,650
5742,Commercial,22083,20322218,71,9,49,99,3,Favorable,No,4,2,Banglore,1,8,Fixed price,Medium,447
5743,Infrastructure,28855,48213870,38,9,38,27,2,Favorable,Yes,1,7,Hyderabad,6,4,Fixed price,Medium,886
5744,Commercial,35038,26318719,67,3,36,51,2,Adverse,Yes,3,2,Mumbai,7,11,Time and materials,High,401
5745,Industrial,32175,52661425,70,2,26,32,2,Adverse,No,1,10,Chennai,6,17,Fixed price,Medium,252
5746,Infrastructure,15479,40704279,47,5,5,21,2,Moderate,No,3,6,Pune,1,18,Time and materials,High,752
5747,Commercial,1205,26438737,57,3,29,63,1,Moderate,Yes,4,5,Hyderabad,7,9,Time and materials,Medium,699
5748,Industrial,2980,29922164,22,5,35,9,5,Moderate,Yes,2,5,Chennai,6,1,Fixed price,Medium,702
5749,Industrial,20765,31144754,5,1,50,39,4,Adverse,Yes,3,7,Chennai,8,11,Time and materials,Low,300
5750,Educational,1326,13753598,16,1,11,13,5,Favorable,No,4,1,Mumbai,5,12,Fixed price,High,403
5751,Residential,16828,28565363,14,1,45,17,5,Adverse,Yes,5,2,Mumbai,2,1,Fixed price,Medium,786
5752,Infrastructure,39415,66823466,78,8,26,74,4,Favorable,Yes,1,3,Pune,2,9,Time and materials,Medium,160
5753,Residential,5213,47492185,67,3,17,93,2,Adverse,No,2,5,Chennai,7,12,Time and materials,Medium,942
5754,Industrial,10576,58062816,36,3,32,76,5,Moderate,Yes,4,9,Mumbai,10,4,Time and materials,Medium,706
5755,Infrastructure,31598,8949807,83,2,45,91,3,Favorable,Yes,1,2,Mumbai,7,12,Time and materials,Low,203
5756,Commercial,21418,55415448,12,8,49,84,3,Favorable,No,2,5,Banglore,3,3,Time and materials,High,167
5757,Commercial,7272,60903657,50,9,28,9,4,Moderate,Yes,4,3,Banglore,1,7,Time and materials,Low,567
5758,Educational,28873,69554498,61,10,24,1,1,Favorable,No,5,2,Kolkata,6,11,Time and materials,High,254
5759,Industrial,3222,25117792,70,9,41,81,4,Moderate,Yes,2,8,Banglore,5,5,Fixed price,High,843
5760,Educational,14564,20946046,48,6,21,59,1,Favorable,No,5,0,Hyderabad,7,18,Fixed price,Low,252
5761,Residential,49130,80991815,60,4,49,43,4,Moderate,No,1,3,Mumbai,4,6,Fixed price,High,402
5762,Infrastructure,7367,6409509,9,6,34,50,5,Moderate,No,2,8,Hyderabad,8,10,Time and materials,Low,118
5763,Infrastructure,31098,22029528,49,7,20,39,1,Adverse,Yes,1,6,Pune,2,15,Time and materials,High,593
5764,Commercial,9204,75971311,73,10,27,75,5,Moderate,Yes,1,0,Banglore,3,6,Time and materials,Medium,296
5765,Educational,31585,67651806,50,1,49,22,0,Moderate,Yes,1,8,Mumbai,2,6,Time and materials,Medium,201
5766,Commercial,31765,66533630,99,7,15,38,3,Favorable,No,4,7,Delhi,8,20,Time and materials,Low,599
5767,Industrial,33427,36111640,73,6,33,73,2,Favorable,Yes,4,3,Kolkata,3,13,Time and materials,Low,904
5768,Educational,8094,61792089,22,5,5,82,3,Moderate,Yes,2,5,Banglore,9,11,Fixed price,Medium,846
5769,Infrastructure,48250,60640547,40,4,6,82,5,Adverse,No,2,9,Mumbai,4,15,Fixed price,Low,374
5770,Industrial,806,64277939,63,10,46,25,4,Moderate,Yes,1,9,Mumbai,9,18,Time and materials,High,478
5771,Infrastructure,16967,33143311,31,10,43,49,1,Favorable,No,5,4,Delhi,10,2,Fixed price,Medium,185
5772,Residential,12001,49601381,77,2,18,70,4,Moderate,Yes,2,4,Hyderabad,6,2,Time and materials,Low,949
5773,Industrial,19895,43375717,50,5,14,31,5,Moderate,No,1,10,Delhi,9,2,Fixed price,Low,594
5774,Educational,42615,71314679,42,4,24,55,1,Adverse,No,2,8,Mumbai,3,8,Fixed price,High,206
5775,Infrastructure,41396,21114785,99,10,12,22,3,Moderate,No,4,0,Mumbai,5,19,Fixed price,Medium,802
5776,Commercial,17943,35421412,9,9,38,75,2,Moderate,Yes,3,10,Banglore,5,20,Fixed price,Low,619
5777,Infrastructure,8478,43792792,15,10,39,74,1,Moderate,Yes,1,3,Banglore,7,14,Time and materials,Low,691
5778,Commercial,49190,19328625,21,3,32,21,0,Adverse,Yes,5,8,Hyderabad,5,19,Fixed price,High,208
5779,Residential,47898,69646545,99,6,12,56,1,Adverse,Yes,3,3,Chennai,5,3,Time and materials,Medium,893
5780,Infrastructure,17064,56234326,40,4,49,56,4,Moderate,Yes,3,1,Kolkata,6,8,Time and materials,High,919
5781,Commercial,43411,27564466,75,5,46,15,1,Moderate,Yes,4,9,Pune,1,20,Fixed price,Medium,559
5782,Educational,41674,44081466,21,3,21,15,4,Moderate,No,1,6,Mumbai,5,18,Time and materials,Low,729
5783,Infrastructure,34633,13005851,58,9,29,31,0,Favorable,No,2,10,Pune,5,14,Fixed price,High,398
5784,Industrial,40567,15178625,18,1,46,10,4,Moderate,No,2,3,Chennai,9,16,Time and materials,Medium,361
5785,Commercial,33278,42526876,37,3,10,36,0,Adverse,No,2,9,Mumbai,6,19,Time and materials,Low,612
5786,Industrial,36497,54844408,29,6,40,12,1,Favorable,No,2,10,Hyderabad,4,15,Fixed price,High,369
5787,Commercial,13122,30054134,89,5,46,50,4,Moderate,No,3,8,Chennai,1,2,Fixed price,Low,251
5788,Educational,20686,74367419,100,8,47,51,2,Adverse,No,5,1,Mumbai,6,14,Fixed price,Medium,296
5789,Educational,28737,7426259,85,4,7,77,2,Favorable,Yes,1,8,Kolkata,7,16,Time and materials,Low,201
5790,Industrial,11728,6812972,20,7,39,29,1,Adverse,Yes,5,1,Banglore,8,19,Time and materials,High,485
5791,Infrastructure,44676,50827291,56,5,32,0,5,Moderate,No,4,8,Mumbai,3,11,Time and materials,Low,909
5792,Residential,27758,67601342,50,2,39,2,5,Moderate,No,3,0,Delhi,10,4,Fixed price,High,852
5793,Infrastructure,41469,63447607,76,9,28,47,4,Moderate,Yes,1,10,Hyderabad,9,11,Fixed price,Medium,882
5794,Infrastructure,28927,60235341,16,9,44,84,5,Adverse,No,4,10,Kolkata,9,16,Fixed price,High,870
5795,Commercial,49315,76729433,39,2,19,40,5,Adverse,No,4,5,Chennai,8,16,Time and materials,High,992
5796,Industrial,5207,75251369,36,6,49,58,4,Moderate,Yes,5,5,Mumbai,5,4,Time and materials,Low,698
5797,Commercial,40759,70634909,85,3,20,33,2,Adverse,No,3,2,Delhi,5,11,Time and materials,Low,645
5798,Infrastructure,31514,48229889,81,1,15,86,4,Adverse,Yes,3,10,Mumbai,4,9,Time and materials,High,278
5799,Commercial,28206,42777370,41,1,16,33,1,Favorable,No,4,4,Kolkata,3,9,Fixed price,Medium,204
5800,Educational,11559,40615303,66,10,12,52,3,Moderate,No,3,3,Hyderabad,5,8,Fixed price,High,473
5801,Educational,36060,55915191,54,1,33,92,0,Adverse,Yes,2,10,Mumbai,8,4,Time and materials,High,170
5802,Residential,44510,54889643,19,2,25,33,1,Adverse,No,2,10,Kolkata,7,13,Fixed price,Medium,880
5803,Infrastructure,5802,62995174,30,5,40,57,0,Adverse,No,2,10,Hyderabad,4,18,Fixed price,Low,942
5804,Residential,13960,74955806,45,1,39,70,5,Favorable,No,1,2,Banglore,2,10,Time and materials,Low,319
5805,Residential,19571,55430222,57,1,34,20,5,Moderate,Yes,4,0,Chennai,10,14,Fixed price,Medium,341
5806,Commercial,24012,53867996,71,4,42,13,2,Moderate,No,4,9,Banglore,2,18,Time and materials,Low,456
5807,Infrastructure,33825,30988631,73,9,12,46,3,Favorable,No,3,0,Hyderabad,2,1,Time and materials,High,734
5808,Infrastructure,37779,32721256,49,2,22,50,0,Moderate,Yes,2,1,Kolkata,8,8,Time and materials,Medium,852
5809,Residential,43876,46712151,26,1,46,80,2,Moderate,No,5,6,Pune,7,16,Fixed price,Low,148
5810,Educational,13838,70355780,55,3,27,96,1,Adverse,No,4,2,Chennai,7,5,Fixed price,High,329
5811,Educational,47833,9426559,25,6,31,42,0,Adverse,Yes,5,6,Delhi,2,12,Time and materials,Low,241
5812,Educational,14623,82337411,57,10,21,77,2,Adverse,No,3,9,Banglore,1,19,Time and materials,Medium,718
5813,Infrastructure,35380,39242566,15,3,25,91,0,Moderate,No,1,10,Banglore,6,8,Time and materials,High,241
5814,Educational,864,39808377,57,3,29,41,3,Adverse,Yes,1,4,Banglore,2,1,Fixed price,High,762
5815,Educational,1654,46297566,98,10,45,36,5,Favorable,No,4,3,Chennai,6,5,Fixed price,Medium,964
5816,Commercial,46189,17194446,46,8,22,82,3,Moderate,No,1,8,Delhi,2,2,Time and materials,Low,630
5817,Infrastructure,34880,61128172,44,3,9,74,0,Moderate,No,2,2,Delhi,1,17,Time and materials,High,549
5818,Residential,47460,68497161,85,6,19,71,1,Moderate,No,4,9,Delhi,9,18,Time and materials,High,374
5819,Infrastructure,48494,70770863,93,6,6,49,4,Favorable,No,3,0,Pune,2,5,Time and materials,High,551
5820,Infrastructure,3010,49475138,67,5,30,67,2,Favorable,Yes,1,9,Delhi,8,8,Time and materials,Low,841
5821,Industrial,25767,82508640,69,6,31,31,0,Adverse,Yes,1,6,Mumbai,3,14,Fixed price,High,236
5822,Educational,45378,53977058,68,3,38,48,0,Adverse,No,1,3,Mumbai,5,12,Time and materials,Medium,105
5823,Infrastructure,10721,11252227,99,4,43,72,4,Favorable,No,1,8,Mumbai,9,1,Time and materials,High,157
5824,Educational,46290,53195364,56,3,5,99,3,Adverse,No,4,2,Pune,5,16,Fixed price,High,262
5825,Educational,37650,78824685,33,7,44,44,2,Favorable,No,2,10,Chennai,1,3,Time and materials,High,977
5826,Educational,40140,37523553,53,6,7,69,4,Adverse,Yes,2,9,Mumbai,3,20,Time and materials,Medium,310
5827,Residential,47883,9727683,39,6,46,64,1,Moderate,Yes,5,5,Pune,6,2,Time and materials,High,379
5828,Industrial,14136,14029905,91,1,19,95,1,Favorable,No,3,1,Chennai,3,15,Fixed price,Medium,431
5829,Residential,43099,73908761,9,1,41,23,1,Moderate,No,4,4,Chennai,4,12,Time and materials,High,600
5830,Industrial,34572,48447681,52,6,11,13,0,Moderate,No,1,2,Hyderabad,9,18,Time and materials,Low,639
5831,Infrastructure,18809,57094123,37,2,7,54,5,Favorable,No,1,1,Hyderabad,4,17,Fixed price,Low,852
5832,Commercial,34019,12273459,66,6,8,76,3,Adverse,No,3,2,Pune,1,1,Time and materials,High,572
5833,Infrastructure,9821,9154568,80,3,29,100,0,Adverse,No,4,1,Chennai,4,13,Fixed price,High,817
5834,Infrastructure,17118,63821522,49,1,43,73,5,Favorable,No,5,5,Delhi,2,5,Time and materials,Low,504
5835,Infrastructure,46815,79448762,54,3,7,12,2,Adverse,No,4,3,Banglore,9,18,Time and materials,Medium,887
5836,Industrial,15300,71796909,23,3,49,53,5,Moderate,No,3,3,Banglore,10,2,Fixed price,Low,101
5837,Infrastructure,14842,4736312,58,5,14,97,5,Favorable,Yes,5,6,Delhi,8,8,Time and materials,Low,254
5838,Industrial,16219,67474767,28,5,15,77,2,Favorable,No,3,10,Pune,3,7,Time and materials,Medium,588
5839,Infrastructure,6732,32783755,54,1,13,56,3,Favorable,No,5,0,Pune,3,5,Fixed price,Medium,121
5840,Educational,41889,50868874,77,1,30,63,5,Adverse,Yes,4,4,Chennai,6,19,Time and materials,High,734
5841,Industrial,21295,24158810,84,7,46,2,2,Moderate,No,3,9,Mumbai,1,17,Time and materials,Medium,162
5842,Infrastructure,17026,20511707,38,1,26,22,3,Moderate,Yes,3,9,Hyderabad,3,1,Fixed price,Medium,278
5843,Infrastructure,20677,13844898,84,6,18,58,0,Favorable,Yes,4,5,Delhi,8,14,Fixed price,High,823
5844,Residential,11798,49610511,100,1,33,3,0,Favorable,Yes,2,0,Mumbai,2,19,Fixed price,Low,211
5845,Commercial,33469,21882535,16,2,36,77,2,Moderate,Yes,5,7,Hyderabad,6,5,Time and materials,High,665
5846,Infrastructure,5012,63275299,55,7,11,88,0,Favorable,No,5,2,Banglore,5,12,Time and materials,High,513
5847,Industrial,1337,13509910,72,1,10,49,2,Favorable,Yes,1,3,Delhi,8,8,Fixed price,Low,436
5848,Industrial,35572,56344052,94,6,11,85,1,Favorable,Yes,5,5,Kolkata,5,1,Time and materials,High,771
5849,Commercial,30091,11028791,20,4,18,9,4,Moderate,Yes,4,9,Delhi,9,4,Time and materials,Low,174
5850,Industrial,27655,32178934,66,3,43,2,3,Moderate,Yes,2,4,Hyderabad,7,8,Time and materials,Low,620
5851,Industrial,27634,78662420,10,4,9,51,1,Adverse,Yes,4,1,Chennai,2,17,Time and materials,Medium,111
5852,Residential,44098,35983488,18,10,20,1,4,Moderate,Yes,3,6,Pune,6,15,Fixed price,Low,651
5853,Infrastructure,43285,7131775,97,2,46,94,5,Adverse,No,1,8,Kolkata,5,7,Fixed price,High,736
5854,Residential,2438,41713559,77,1,20,15,1,Moderate,No,4,10,Banglore,1,13,Time and materials,High,158
5855,Industrial,34550,59135259,82,8,29,22,2,Adverse,Yes,2,4,Pune,5,17,Time and materials,Low,700
5856,Infrastructure,46835,49292040,18,9,15,17,2,Adverse,No,1,9,Pune,1,9,Fixed price,Low,746
5857,Infrastructure,2581,58052939,24,5,22,72,3,Moderate,No,2,4,Delhi,7,13,Time and materials,High,383
5858,Residential,31153,45911450,47,10,50,12,2,Moderate,Yes,5,2,Pune,6,19,Time and materials,Medium,315
5859,Industrial,39210,12184898,90,10,41,45,1,Favorable,Yes,1,2,Pune,7,15,Time and materials,High,221
5860,Infrastructure,21361,60817586,56,5,36,97,0,Moderate,No,5,8,Chennai,5,12,Time and materials,Medium,142
5861,Educational,13059,9799478,93,2,48,92,3,Adverse,Yes,3,9,Banglore,6,14,Time and materials,High,254
5862,Infrastructure,25905,17628121,99,8,21,85,3,Adverse,No,5,3,Delhi,3,2,Time and materials,Medium,752
5863,Infrastructure,42993,57281122,12,6,31,76,2,Adverse,Yes,1,1,Mumbai,1,10,Fixed price,Medium,780
5864,Infrastructure,30472,27747481,88,7,11,35,2,Favorable,Yes,4,9,Kolkata,2,16,Fixed price,Low,554
5865,Industrial,12861,34048509,79,8,34,51,0,Moderate,Yes,5,7,Kolkata,2,16,Time and materials,Medium,964
5866,Educational,8817,80854699,14,1,15,82,4,Moderate,Yes,2,2,Mumbai,2,12,Time and materials,Medium,348
5867,Industrial,28086,44764639,52,1,38,67,4,Moderate,No,5,7,Kolkata,5,2,Time and materials,Medium,962
5868,Industrial,20053,36670562,79,7,38,37,0,Moderate,No,4,6,Hyderabad,1,9,Time and materials,Low,161
5869,Residential,17327,9737394,69,3,23,84,2,Moderate,No,2,9,Pune,5,11,Fixed price,Low,225
5870,Infrastructure,13629,25646502,66,8,25,52,4,Adverse,Yes,5,9,Delhi,10,10,Fixed price,Medium,975
5871,Educational,17148,25524243,28,9,17,26,1,Moderate,No,4,8,Kolkata,2,10,Time and materials,Medium,848
5872,Infrastructure,40501,57663171,53,7,11,33,3,Moderate,Yes,3,1,Kolkata,6,5,Time and materials,High,680
5873,Residential,49241,56239057,36,3,31,34,3,Adverse,Yes,1,6,Pune,2,11,Fixed price,Low,419
5874,Infrastructure,29658,24556380,75,8,39,58,2,Favorable,No,1,9,Banglore,10,19,Fixed price,Medium,899
5875,Industrial,8306,76816002,92,2,35,50,3,Favorable,No,4,6,Chennai,2,7,Time and materials,High,370
